food_id,name,protein,fat,carbs,calories,fiber,sodium,sugar
321865,"Broccoli, steamed, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CW4",NULL,0.35,NULL,NULL,NULL,NULL,NULL
321866,"Broccoli, steamed, Pass 2, Region 4, n/a, Yes, Minerals - NFY010CW6",NULL,NULL,NULL,NULL,NULL,42,NULL
321889,"Broccoli, Pass 2, Region 3, n/a, Yes, Proximates - NFY010D84",NULL,0.41,NULL,NULL,NULL,NULL,NULL
321890,"Broccoli, Pass 2, Region 3, n/a, Yes, Minerals - NFY010D86",NULL,NULL,NULL,NULL,NULL,39,NULL
321900,"Broccoli, raw",2.57,0.34,6.29,32,2.4,36,NULL
321903,"MILK, 1%",NULL,1.07,NULL,NULL,NULL,NULL,NULL
321909,"MILK, 1%",NULL,1.02,NULL,NULL,NULL,NULL,NULL
321915,"MILK, 1%",NULL,0.92,NULL,NULL,NULL,NULL,NULL
321924,"MILK, 1%",NULL,0.93,NULL,NULL,NULL,NULL,NULL
321927,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,48,NULL
321944,"MILK, 1%",NULL,0.94,NULL,NULL,NULL,NULL,NULL
321947,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,37,NULL
321963,"MILK, 1%",NULL,1.19,NULL,NULL,NULL,NULL,NULL
321966,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,37,NULL
321982,"MILK, 1%",NULL,0.92,NULL,NULL,NULL,NULL,NULL
321988,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,44,NULL
322005,"MILK, 1%",NULL,1,NULL,NULL,NULL,NULL,NULL
322008,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,39,NULL
322024,"MILK, SKIM ",NULL,1.12,NULL,NULL,NULL,NULL,NULL
322030,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,38,NULL
322035,"MILK, 1% ",NULL,1.14,NULL,NULL,NULL,NULL,NULL
322045,"MILK, 1%",NULL,0.94,NULL,NULL,NULL,NULL,NULL
322051,"MILK, 1%",NULL,0.87,NULL,NULL,NULL,NULL,NULL
322057,"MILK, 1%",NULL,0.72,NULL,NULL,NULL,NULL,NULL
322063,"MILK, 1%",NULL,0.94,NULL,NULL,NULL,NULL,NULL
322069,"MILK, 1%",NULL,0.98,NULL,NULL,NULL,NULL,NULL
322075,"MILK, 1%",NULL,0.85,NULL,NULL,NULL,NULL,NULL
322081,"MILK, 1%",NULL,0.92,NULL,NULL,NULL,NULL,NULL
322089,"MILK, 1%",NULL,1.07,NULL,NULL,NULL,NULL,NULL
322092,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,38,NULL
322109,"MILK, 1%",NULL,0.87,NULL,NULL,NULL,NULL,NULL
322115,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,37,NULL
322132,"MILK, 1%",NULL,0.84,NULL,NULL,NULL,NULL,NULL
322138,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,39,NULL
322154,"MILK, 1%",NULL,0.89,NULL,NULL,NULL,NULL,NULL
322160,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,38,NULL
322175,"MILK, 1%",NULL,0.91,NULL,NULL,NULL,NULL,NULL
322184,"MILK, 1%",NULL,0.96,NULL,NULL,NULL,NULL,NULL
322192,"MILK, 1%",NULL,0.87,NULL,NULL,NULL,NULL,NULL
322195,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,36,NULL
322211,"MILK, 1%",NULL,1.01,NULL,NULL,NULL,NULL,NULL
322214,"MILK, 1%",NULL,NULL,NULL,NULL,NULL,38,NULL
322218,"MILK, 1%",NULL,1.04,NULL,NULL,NULL,NULL,NULL
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,0.95,5.19,43,NULL,39,NULL
322231,"MILK, SKIM ",NULL,0.06,NULL,NULL,NULL,NULL,NULL
